id,AIFM1,BCLAF1,BDP1,CENPH (64946),CENPI (2491),CTPS1 (1503),FAM50A (9130),FDPS (2224),GAGE2A (729447),GEMIN8 (54960),GJA3 (2700),KDM2A (22992),KIF4A (24137),KLC2 (64837),LAS1L (81887),MBTPS2 (51360),MED12 (9968),MED14 (9282),POLA1 (5422),PSMC1 (5700),RBMX2 (51634),RPL39 (6170),SGF29 (112869),SIN3A (25942),SNAP23 (8773),STIL (6491),TEX10 (54881),TGS1 (96764)
ACH-001277,-1.03535194,-0.473414146,-0.990245483,-0.773563443,-0.799211236,-0.529494733,-0.353684455,-0.450311608,-0.792350784,-0.977199359,-0.958883584,-0.526384124,-0.728013498,-0.589352354,-0.871913711,-0.980120432,-1.000328762,-1.184886716,-1.244221773,-0.708684838,-0.720449419,-0.874312198,-0.766785538,-0.829020586,-1.584801174,-0.465670475,-0.914650803,-0.671427819
ACH-001278,-0.586232102,-0.360105998,-0.873102258,-0.754284173,-0.87559779,-0.682783332,-0.459847151,-0.635656478,-0.901458205,-0.422342787,-0.76526797,-0.659888694,-0.637947749,-0.753432379,-0.676918054,-0.600830018,-0.511212778,-0.855394572,-1.007590964,-0.744056095,-0.739985102,-0.652461874,-1.004101668,-0.564838532,-1.051727301,-0.665532678,-0.678164489,-0.794196617
ACH-001280,-0.639146183,-0.816222441,-0.865661393,-0.761246007,-0.796018458,-0.882079961,-0.959175053,-0.769522619,-0.595668005,-0.700007761,-1.355218475,-1.120110401,-0.631426093,-0.941296178,-0.60315836,-0.777426633,-0.648495497,-1.400501919,-1.1369464,-0.676438672,-0.907845227,-0.323396845,-1.188180962,-1.44384591,-0.980000917,-1.373622107,-0.640969283,-0.875944805
ACH-001283,-0.742940488,-1.129419093,-0.413090619,-0.87819857,-0.765089857,-0.251825497,-0.648422673,-0.647349912,-0.742218531,-0.724527864,-0.840654276,-0.977051031,-0.491757903,-0.856533243,-0.786299018,-0.889868297,-0.522173408,-1.222935088,-0.814546025,-0.733602403,-0.704918778,-0.89199905,0.126910389,-0.673759543,-0.981001059,-1.013482302,-0.943247442,-0.956628854
ACH-001289,-0.225338981,-0.595063993,-0.54928918,-0.889341602,-0.689643376,-0.251395219,-0.470033323,-0.637198841,-0.817605995,-1.101280355,-0.679897011,-1.012564834,-0.665794588,-0.701037494,-0.81014361,-0.975598063,-0.474845501,-1.190481246,-1.203644383,-0.662745349,-0.899742538,-0.837413258,-0.167930628,-0.841352836,-1.335976012,-0.919321106,-0.851027458,-0.929983922
ACH-001295,-0.736080303,-0.757941216,-0.685669412,-0.728448109,-0.489110847,-0.278790224,-0.9788144,-0.546412798,-0.57995789,-0.823483731,-0.844788708,-0.56343746,-0.12096902,-0.8789381,-0.870311796,-0.602402367,-0.967427978,-1.11044428,-1.056583125,-0.932908292,-1.055291352,-0.647852159,-1.021335197,-0.779939915,-0.019328845,-0.873985398,-0.790452941,-0.72476172
ACH-001300,-0.927812839,-0.779966059,-0.941444315,-0.850053842,-0.825384382,-0.61415117,-0.354982733,-0.900928078,-0.75953883,-0.798418451,-0.952076651,-1.154902028,-0.571456682,-0.887826192,-0.756158673,-0.663691575,-0.747667722,-1.106978446,-1.040874424,-0.818702742,-0.829496355,-0.856656124,-0.909067928,-0.939528974,-0.314113232,-0.525494393,-0.724716216,-0.586877853
ACH-001301,-0.42698597,-1.01588495,-0.819881667,-0.810362005,-0.853795165,-0.272083155,-1.152190395,-0.681203113,-0.798902467,-0.947370975,-0.906576097,-0.69964473,-0.641843809,-0.966435856,-1.000159435,-0.634856903,-0.812550705,-0.829823985,-0.940655152,-0.852362588,-0.771425656,-0.774908193,-0.623451985,-0.915087106,-0.04539965,-0.807728264,-0.803419629,-0.928017072
ACH-001302,-0.605998377,-0.968644516,-0.75379796,-0.720683097,-0.718403925,-0.690429403,-0.936600403,-0.742373404,-0.832312549,-0.975936703,-0.473607332,-0.533493802,-0.857761082,-0.620039006,-0.734820624,-0.535058799,-0.972967463,-1.248453136,-0.810981843,-0.845767201,-1.124670127,-0.724438786,-0.843659273,-0.522338252,0.020537945,-0.904033004,-0.803026127,-1.012200159
ACH-001303,-0.731627979,-1.238022647,-0.845430599,-0.957513898,-0.782191113,-0.283752013,-0.913433427,-0.908452527,-0.535487939,-0.840999496,-1.020958231,-0.94880876,-0.969554774,-0.592714331,-0.868582642,-1.324797198,-0.952789613,-1.139030899,-1.017828557,-0.647461876,-1.096606857,-1.04244476,-0.429791029,-1.161472935,-0.221491131,-1.372528531,-0.764289736,-0.724243589
ACH-001306,-0.861990923,-0.990303791,-0.883256358,-1.010936548,-0.586789018,-0.549539369,-1.281679411,-0.772519715,-0.823937615,-1.077497262,-0.658076953,-0.75807794,-0.745233687,-0.653061867,-0.794287985,-0.70162653,-0.271413209,-0.983585601,-0.750786112,-0.571800811,-0.824663845,-0.968629631,-0.513569921,-1.049387851,-0.569381392,-0.689540116,-0.6082173,-0.762610949
ACH-001318,-1.073143703,-0.508051952,-0.964160073,-0.706525759,-0.738333586,-0.415218343,-0.849556542,-0.918014661,-0.68665705,-0.619180584,-0.63026092,-0.787407759,-0.730398748,-0.644542183,-1.001673232,-0.599831768,-0.720129809,-0.92311394,-0.635836491,-0.562714169,-0.789439779,-0.715716134,-1.15859819,-0.632422941,-0.117398442,-0.839154227,-0.816915933,-1.040896766
